Rank,Points,Tournaments,Name,Nationality
1,98715,14,Axelsen Viktor,Denmark
2,90984,19,Shi Yu Qi,China
3,85101,20,Ginting Anthony Sinisuka,Indonesia
4,83594,19,Antonsen Anders,Denmark
5,81531,19,Christie Jonatan,Indonesia
6,81015,21,Naraoka Kodai,Japan
7,77998,21,Li Shi Feng,China
8,77948,20,Vitidsarn Kunlavut,Thailand
9,77647,20,Prannoy H. S.,India
10,69912,24,Loh Kean Yew,Singapore
11,68296,24,Lee Zii Jia,Malaysia
12,64982,27,Nishimoto Kenta,Japan
13,64021,22,Sen Lakshya,India
14,63499,27,Lee Cheuk Yiu,Hong Kong
15,62498,31,Chou Tien Chen,Taiwan
16,60771,21,Lu Guang Zu,China
17,59950,21,Weng Hong Yang,China
18,58735,20,Ng Tze Yong,Malaysia
19,57286,30,Lin Chun-Yi,Taiwan
20,55656,24,Popov Christo,France
21,54581,17,Watanabe Koki,Japan
22,54031,22,Tsuneyama Kanta,Japan
23,53273,25,Yang Brian,Canada
24,52710,29,Wang Tzu Wei,Taiwan
25,52063,24,Popov Toma Junior,France
26,49856,26,Ng Ka Long Angus,Hong Kong
27,49723,25,Srikanth Kidambi,India
28,47779,17,Gemke Rasmus,Denmark
29,46429,17,Dwi Wardoyo Chico Aura,Indonesia
30,44480,24,Su Li Yang,Taiwan
31,43479,15,Obayashi Takuma,Japan
32,41810,17,Rajawat Priyanshu,India
33,41526,14,Lei Lan Xi,China
34,40138,28,Lee Chia Hao,Taiwan
35,39910,22,Johannesen Magnus,Denmark
36,39880,21,George Kiran,India
37,39621,18,Leong Jun Hao,Malaysia
38,37616,21,Chi Yu Jen,Taiwan
39,35776,15,Cordon Kevin,Guatemala
40,35754,29,Wangcharoen Kantaphon,Thailand
41,35660,12,Zhao Jun Peng,China
42,35098,20,Carraggi Julien,Belgium
43,34997,20,Nguyen Nhat,Ireland
44,34202,21,Coelho Ygor,Brazil
45,34010,23,Karunakaran Sathish,India
46,33775,19,Merkle Arnaud,France
47,33662,21,Caljouw Mark,Netherlands
48,33540,11,Lanier Alex,France
49,33309,21,Jeon Hyeok Jin,South Korea
50,32810,12,Tanaka Yushi,Japan
51,32467,10,Momota Kento,Japan
52,32423,17,Zilberman Misha,Israel
53,32423,18,Christophersen Mads,Denmark
54,31410,19,Louda Jan,Czech Republic
55,31248,19,Teh Jia Heng Jason,Singapore
56,31059,16,Canjura Artiga Uriel Francisco,El Salvador
57,29307,20,Matias Jonathan,Brazil
58,29121,17,Koljonen Kalle,Finland
59,28800,20,Huang Yu Kai,Taiwan
60,28550,12,Takahashi Koo,Japan
61,27930,18,Cheam June Wei,Malaysia
62,27245,13,Farhan Alwi,Indonesia
63,27149,23,Dwicahyo Ade Resky,Azerbaijan
64,26500,13,Shetty Ayush,India
65,26030,18,Manjunath Mithun,India
66,25982,26,Abian Pablo,Spain
67,24834,25,Oldorff Joakim,Finland
68,24475,26,Panarin Dmitriy,Kazakhstan
69,24180,23,Subramanian S.Sankar Muthusamy,India
70,24058,25,Toti Giovanni,Italy
71,23290,13,Wang Po-Wei,Taiwan
72,23204,19,Bosniuk Danylo,Ukraine
73,23200,22,Nettasinghe Viren,Sri Lanka
74,22799,16,Garrido Luis Ramon,Mexico
75,22772,27,Shu Howard,USA
76,22700,16,Soong Joo Ven,Malaysia
77,22363,18,Liao Jhuo-Fu,Taiwan
78,22350,21,Le Duc Phat,Vietnam
79,22220,11,Verma Sameer,India
80,21910,9,Rhustavito Shesar Hiren,Indonesia
81,21571,28,Schaefer Kai,Germany
82,21526,12,Claerbout Lucas,France
83,21303,21,Maisnam Meiraba Luwang,India
84,21200,23,Nguyen Hai Dang,Vietnam
85,21180,14,Dubovenko Daniil,Israel
86,20977,22,Roth Fabian,Germany
87,20770,13,Hatano Riku,Japan
88,20313,23,Caponio Fabio,Italy
89,19539,11,Chan Yin Chak,Hong Kong
90,19530,19,Kuo Kuan Lin,Taiwan
91,19352,26,Barth Markus,Norway
92,19167,12,Gunawan Jason,Hong Kong
93,19050,18,Collins-Valentine Filimon,Austria
94,18970,20,Alcala Mark Shelley,USA
95,18848,14,Opeyori Anuoluwapo Juwon,Nigeria
96,18846,22,Penalver Luis Enrique,Spain
97,18530,9,Rumbay Ikhsan Leonardo Imanuel,Indonesia
98,18525,19,Huang Harry,England
99,18513,8,Marcellyno Yohanes Saut,Indonesia
100,18430,16,Satish Kumar Rithvik Sanjeevi,India
